"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Richard Gordon",2500,"GB@Den 08:30PM ET",0,"Den"
"TE","Rob Housler",2500,"Ari@Cle 01:00PM ET",0.267,"Cle"
"TE","Kyle Nelson",2500,"SF@StL 01:00PM ET",0.000,"SF"
"TE","Lance Kendricks",2500,"SF@StL 01:00PM ET",4.300,"StL"
"TE","Jermaine Gresham",2500,"Ari@Cle 01:00PM ET",2.900,"Ari"
"TE","Jeff Cumberland",2500,"NYJ@Oak 04:05PM ET",1.120,"NYJ"
"TE","Michael Hoomanawanui",2500,"NYG@NO 01:00PM ET",3.100,"NO"
"TE","Lee Smith",2500,"NYJ@Oak 04:05PM ET",1.483,"Oak"
"TE","Luke Stocker",2500,"TB@Atl 01:00PM ET",1.300,"TB"
"TE","Rhett Ellison",2500,"Min@Chi 01:00PM ET",0.567,"Min"
"TE","Garrett Celek",2500,"SF@StL 01:00PM ET",4.986,"SF"
"TE","James Hanna",2500,"Sea@Dal 04:25PM ET",0.825,"Dal"
"TE","Mychal Rivera",2500,"NYJ@Oak 04:05PM ET",3.083,"Oak"
"TE","Cory Harkey",2500,"SF@StL 01:00PM ET",0.467,"StL"
"TE","Beau Brinkley",2500,"Ten@Hou 01:00PM ET",0.000,"Ten"
"TE","Dwayne Allen",2500,"Ind@Car 08:30PM ET",4.220,"Ind"
"TE","Kevin McDermott",2500,"Min@Chi 01:00PM ET",0.000,"Min"
"TE","Tim Wright",2500,"Det@KC 09:30AM ET",3.467,"Det"
"TE","Luke Willson",2500,"Sea@Dal 04:25PM ET",2.567,"Sea"
"TE","Josh Hill",2500,"NYG@NO 01:00PM ET",2.729,"NO"
"TE","James Winchester",2500,"Det@KC 09:30AM ET",0.000,"KC"
"TE","Jack Doyle",2500,"Ind@Car 08:30PM ET",1.414,"Ind"
"TE","Vance McDonald",2500,"SF@StL 01:00PM ET",1.533,"SF"
"TE","Justin Perillo",2500,"GB@Den 08:30PM ET",3.100,"GB"
"TE","Ryan Hewitt",2500,"Cin@Pit 01:00PM ET",0.433,"Cin"
"TE","Levine Toilolo",2500,"TB@Atl 01:00PM ET",1.257,"Atl"
"TE","Justice Cunningham",2500,"SF@StL 01:00PM ET",0.000,"StL"
"TE","Gavin Escobar",2500,"Sea@Dal 04:25PM ET",1.900,"Dal"
"TE","Cooper Helfet",2500,"Sea@Dal 04:25PM ET",0.000,"Sea"
"TE","Crockett Gillmore",2500,"SD@Bal 01:00PM ET",10.680,"Bal"
"TE","Blake Bell",2500,"SF@StL 01:00PM ET",0.783,"SF"
"TE","James O'Shaughnessy",2500,"Det@KC 09:30AM ET",2.100,"KC"
"TE","MyCole Pruitt",2500,"Min@Chi 01:00PM ET",0.383,"Min"
"TE","Cameron Brate",2500,"TB@Atl 01:00PM ET",0.825,"TB"
"TE","Will Tye",2500,"NYG@NO 01:00PM ET",3.250,"NYG"
"TE","Chase Ford",2500,"Min@Chi 01:00PM ET",0,"Min"
"TE","C.J. Fiedorowicz",2500,"Ten@Hou 01:00PM ET",2.771,"Hou"
"TE","Brian Parker",2500,"Det@KC 09:30AM ET",0,"KC"
"TE","Scott Simonson",2500,"Ind@Car 08:30PM ET",0,"Car"
"TE","Tyler Kroft",2500,"Cin@Pit 01:00PM ET",0.000,"Cin"
"TE","C.J. Uzomah",2500,"Cin@Pit 01:00PM ET",0,"Cin"
"TE","Demetrius Harris",2500,"Det@KC 09:30AM ET",0.500,"KC"
"TE","Nick Boyle",2500,"SD@Bal 01:00PM ET",2.829,"Bal"
"TE","Kennard Backman",2500,"GB@Den 08:30PM ET",0.000,"GB"
"TE","Troy Niklas",2500,"Ari@Cle 01:00PM ET",0.329,"Ari"
"TE","Phillip Supernaw",2500,"Ten@Hou 01:00PM ET",0.000,"Ten"
"TE","Maxx Williams",2500,"SD@Bal 01:00PM ET",3.800,"Bal"
"TE","Jesse James",2500,"Cin@Pit 01:00PM ET",0,"Pit"
"TE","Geoff Swaim",2500,"Sea@Dal 04:25PM ET",0.500,"Dal"
"TE","E.J. Bibbs",2500,"Ari@Cle 01:00PM ET",0,"Cle"
"TE","Khari Lee",2500,"Min@Chi 01:00PM ET",0.000,"Chi"
"DST","Bears",2400,"Min@Chi 01:00PM ET",3.833,"Chi"
"DST","Buccaneers",2300,"TB@Atl 01:00PM ET",7.167,"TB"
"DST","Raiders",2200,"NYJ@Oak 04:05PM ET",6.500,"Oak"
"DST","Chargers",2200,"SD@Bal 01:00PM ET",3.286,"SD"
"DST","Colts",2100,"Ind@Car 08:30PM ET",5.714,"Ind"
"DST","49ers",2100,"SF@StL 01:00PM ET",4.571,"SF"
"DST","Browns",2000,"Ari@Cle 01:00PM ET",6.000,"Cle"
"DST","Saints",2000,"NYG@NO 01:00PM ET",6.857,"NO"
