"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"RB","Charles Sims",3600,"TB@Atl 01:00PM ET",11.067,"TB"
"RB","Orleans Darkwa",3600,"NYG@NO 01:00PM ET",1.543,"NYG"
"RB","Tevin Coleman",3600,"TB@Atl 01:00PM ET",4.380,"Atl"
"TE","Benjamin Watson",3500,"NYG@NO 01:00PM ET",10.786,"NO"
"WR","Eddie Royal",3500,"Min@Chi 01:00PM ET",9.180,"Chi"
"WR","Malcom Floyd",3500,"SD@Bal 01:00PM ET",7.814,"SD"
"WR","Doug Baldwin",3500,"Sea@Dal 04:25PM ET",10.143,"Sea"
"WR","Michael Floyd",3500,"Ari@Cle 01:00PM ET",7.043,"Ari"
"RB","Knile Davis",3500,"Det@KC 09:30AM ET",2.086,"KC"
"RB","Alfred Blue",3500,"Ten@Hou 01:00PM ET",5.371,"Hou"
"RB","David Johnson",3500,"Ari@Cle 01:00PM ET",10.557,"Ari"
"RB","Javorius Allen",3500,"SD@Bal 01:00PM ET",3.229,"Bal"
"RB","Thomas Rawls",3500,"Sea@Dal 04:25PM ET",7.486,"Sea"
"DST","Falcons",3400,"TB@Atl 01:00PM ET",7.714,"Atl"
"WR","Ted Ginn Jr.",3400,"Ind@Car 08:30PM ET",11.433,"Car"
"RB","Dexter McCluster",3400,"Ten@Hou 01:00PM ET",8.533,"Ten"
"WR","Jermaine Kearse",3400,"Sea@Dal 04:25PM ET",8.686,"Sea"
"RB","Theo Riddick",3400,"Det@KC 09:30AM ET",11.914,"Det"
"RB","Isaiah Crowell",3400,"Ari@Cle 01:00PM ET",8.757,"Cle"
"DST","Packers",3300,"GB@Den 08:30PM ET",10.500,"GB"
"WR","Dwayne Harris",3300,"NYG@NO 01:00PM ET",6.643,"NYG"
"TE","Larry Donnell",3300,"NYG@NO 01:00PM ET",8.586,"NYG"
"RB","Antonio Andrews",3300,"Ten@Hou 01:00PM ET",9.175,"Ten"
"RB","Tre Mason",3300,"SF@StL 01:00PM ET",2.450,"StL"
"WR","Ty Montgomery",3300,"GB@Den 08:30PM ET",7.000,"GB"
"RB","Bishop Sankey",3300,"Ten@Hou 01:00PM ET",7.200,"Ten"
"WR","Jeff Janis",3300,"GB@Den 08:30PM ET",1.650,"GB"
"DST","Rams",3200,"SF@StL 01:00PM ET",12.167,"StL"
"DST","Panthers",3200,"Ind@Car 08:30PM ET",10.000,"Car"
"WR","Marques Colston",3200,"NYG@NO 01:00PM ET",6.833,"NO"
"RB","Reggie Bush",3200,"SF@StL 01:00PM ET",2.175,"SF"
"WR","Stevie Johnson",3200,"SD@Bal 01:00PM ET",11.900,"SD"
